post_id,platform,account,post_date,content_type,impressions,reach,likes,comments,shares,saves,clicks,hashtags,engagement_rate,follower_count,sentiment
POST_000000,X,@jessica_brown,2023-03-02,Thread,9770,6593,715,97,47,59,379,"['socialmedia', 'analytics']",0.087922,359796,positive
POST_000001,instagram,@james_thomas,2024-05-05,Tweet,351437,243210,13636,825,1085,647,10252,#tech #content #startup #data,0.044236,290888,neg
POST_000002,Instagram,@patricia_jackson,2023-01-16,Story,334298,233340,9956,617,534,793,11792,"['marketing', 'tech']",3.3225,340401,
POST_000003,Twitter,@sarah_garcia,2024-09-06,Thread,309992,196275,4511,456,283,119,2513,#marketing #socialmedia,1.6936,428847,negative
POST_000004,Twitter,@jessica_brown,2024-12-17,Post,462183,318586,20806,2862,1596,1955,4852,#analytics #socialmedia,5.4662,260809,positive
POST_000005,Instagram,@david_martin,2024-07-16,Carousel,461651,397699,8016,1097,310,453,16365,#analytics,2.0412,224207,+
POST_000006,Instagram,@sophia_lee,2024-07-07,Poll,268324,235110,19222,1326,747,1000,5583,"startup,socialmedia,analytics,tech",0.079363,440745,pos
POST_000007,IG,@sophia_gonzalez,2024-02-07,Tweet,442766,340539,31955,4281,1740,2115,16916,#socialmedia,8.577,445050,
POST_000008,instagram,@robert_thompson,2024-01-28,Thread,33438,21290,664,50,45,33,243,"content,tech,marketing,analytics",2.2699,249322,negative
POST_000009,Twitter,@joseph_lopez,2023-05-29,Reel,301810,205982,13717,707,395,593,6665,"['content', 'business']",4.91,22262,-
POST_000010,Instagram,@sarah_hernandez,2023-07-11,Thread,378773,309307,20421,989,1292,498,14332,['growth'],5.9936,349643,negative
POST_000011,Instagram,@john_thomas,2023-06-16,Carousel,316726,225922,7600,759,512,415,9886,#data #socialmedia,0.028008,446255,
POST_000012,IG,@linda_white,2024-06-17,Poll,182677,101374,7193,280,369,325,4329,marketing,0.042928,148923,
POST_000013,Instagram,@robert_anderson,2024-08-16,Post,107035,85531,7342,714,180,593,3373,#socialmedia #tech #startup #ai,7.6947,292836,negative
POST_000014,Twitter,@joseph_white,2024-12-28,Story,8573,4647,419,13,27,11,88,content,5.354,215130,positive
POST_000015,instagram,@karen_davis,2023-11-02,Tweet,373603,352804,11583,663,861,272,20586,#data #marketing,0.035083,169801,-
POST_000016,Twitter,@charles_smith,2023-09-21,Poll,2477,1595,148,20,5,8,59,"['startup', 'analytics']",6.9843,57433,bad
POST_000017,IG,@john_taylor,2023-03-07,Reel,409869,446790,38546,5341,875,2716,6111,"business,socialmedia",0.109211,50300,negative
POST_000018,Twitter,@jennifer_moore,2023-10-06,Poll,461640,354617,12456,1404,933,593,5847,startup,0.032044,136405,pos
POST_000019,Instagram,@charles_clark,2024-01-19,Tweet,496155,416793,16591,687,198,1515,11359,['startup'],3.5223,0,
POST_000020,Twitter,@michael_davis,2024-09-13,Tweet,133974,110302,5767,802,425,269,5096,"startup,ai",0.052204,441384,positive
POST_000021,Instagram,@liam_lee,2023-02-25,Thread,110481,68539,6404,393,252,327,740,data,6.3803,413870,good
POST_000022,Twitter,@joseph_miller,2023-10-09,Post,373987,277904,14671,577,834,715,5456,"analytics,socialmedia,ai,growth",0.043001,66645,neg
POST_000023,twitter,@john_davis,2024-07-16,Poll,277808,380584,36400,2614,1260,1552,8369,#business #data #socialmedia,0.144971,492208,negative
POST_000024,Twitter,@elizabeth_thompson,2024-10-03,Poll,105946,91791,7986,394,254,611,1936,"['growth', 'socialmedia', 'startup', 'tech']",0.081494,1,
POST_000025,Instagram,@liam_thomas,2024-04-30,Thread,485741,348715,32461,3723,583,3124,19161,['content'],0.075693,35739,
POST_000026,IG,@karen_anderson,2023-05-05,Reel,233187,117428,3219,222,166,279,6497,"['marketing', 'tech']",0.015468,183228,positive
POST_000027,Instagram,@jessica_johnson,2024-02-15,Tweet,359836,248325,15958,1623,959,883,6817,['startup'],0.051523,78309,negative
POST_000028,Instagram,@michael_taylor,2024-10-28,Story,148947,115667,4288,625,81,191,5680,"marketing,analytics,socialmedia,startup",3.3529,355016,positive
