review_id,product_id,user_id,review_date,rating,review_title,review_text,verified_purchase,helpful_votes,product_category,sentiment
REV-100000,PROD-1998,USR-65807,2023-03-23,4,Superb performance,This performance is superb. I would definitely recommend this to others.,False,167,Sports,Positive
REV-100001,PROD-2839,USR-72474,2025-05-15,2,Terrible value,This value is terrible. Exactly what I was looking for.,False,82,Clothing,Negative
REV-100002,PROD-4396,USR-70774,2023-07-30,5,Best delivery,This delivery is best. Quality is best as described.,True,89,Clothing,Positive
REV-100003,PROD-1638,USR-30419,2023-03-10,3,Fair product,This product is fair. Quality is fair as described.,True,28,Grocery,Neutral
REV-100004,PROD-3437,USR-54725,2022-08-01,4,Love performance,This performance is love. Exactly what I was looking for.,True,102,Home & Kitchen,Positive
REV-100005,PROD-1171,USR-67261,2022-04-02,5,Wonderful performance,This performance is wonderful. Shipping was fast and packaging was good.,True,51,Grocery,Positive
REV-100006,PROD-2419,USR-81047,2025-06-04,5,Superb design,This design is superb. Quality is superb as described.,False,5,Electronics,Positive
REV-100007,PROD-1508,USR-19973,2022-12-05,5,Perfect delivery,This delivery is perfect. Exactly what I was looking for.,True,148,Sports,Positive
REV-100008,PROD-4186,USR-64728,2024-09-05,1,Defective product,This product is defective. Shipping was fast and packaging was good.,True,41,Toys,Negative
REV-100009,PROD-4734,USR-23732,2024-09-27,5,Best item,This item is best. The item met my expectations overall.,True,46,Clothing,Positive
REV-100010,PROD-3822,USR-91312,2022-03-04,3,Acceptable item,This item is acceptable. I have been using this for weeks now.,True,70,Home & Kitchen,Neutral
REV-100011,PROD-2223,USR-31442,2024-05-26,5,Wonderful design,This design is wonderful. Great design for the money.,True,145,Clothing,Positive
REV-100012,PROD-1801,USR-63557,2025-05-06,4,Wonderful quality,This quality is wonderful. Exactly what I was looking for.,True,151,Grocery,Positive
REV-100013,PROD-1734,USR-33896,2023-05-07,2,Terrible experience,This experience is terrible. Shipping was fast and packaging was good.,False,56,Electronics,Negative
REV-100014,PROD-2742,USR-62588,2024-02-25,4,Fantastic experience,This experience is fantastic. I have been using this for weeks now.,False,10,Books,Positive
REV-100015,PROD-2529,USR-79418,2025-11-27,2,Poor material,This material is poor. Shipping was fast and packaging was good.,True,41,Toys,Negative
REV-100016,PROD-4079,USR-11020,2022-11-15,1,Broken experience,This experience is broken. Exactly what I was looking for.,True,73,Electronics,Negative
REV-100017,PROD-2558,USR-85408,2025-04-17,1,Bad quality,This quality is bad. Exactly what I was looking for.,False,163,Sports,Negative
REV-100018,PROD-1303,USR-16036,2024-11-20,5,Fantastic quality,This quality is fantastic. Exactly what I was looking for.,True,53,Home & Kitchen,Positive
REV-100019,PROD-2432,USR-52372,2024-06-29,5,Best design,This design is best. I would definitely recommend this to others.,True,9,Grocery,Positive
REV-100020,PROD-4201,USR-23735,2022-09-14,2,Disappointing quality,This quality is disappointing. The quality met my expectations overall.,True,191,Sports,Negative
REV-100021,PROD-1153,USR-43452,2022-01-07,5,Love performance,This performance is love. Great performance for the money.,True,24,Home & Kitchen,Positive
REV-100022,PROD-2797,USR-92665,2022-10-06,5,Fantastic experience,This experience is fantastic. Shipping was fast and packaging was good.,False,116,Toys,Positive
REV-100023,PROD-1771,USR-28028,2024-01-16,5,Excellent purchase,This purchase is excellent. Quality is excellent as described.,True,125,Grocery,Positive
REV-100024,PROD-1404,USR-46175,2025-05-01,5,Wonderful design,This design is wonderful. The design met my expectations overall.,True,189,Home & Kitchen,Positive
REV-100025,PROD-3538,USR-54519,2024-08-21,2,Broken design,This design is broken. I have been using this for weeks now.,False,130,Toys,Negative
REV-100026,PROD-1949,USR-71031,2023-07-14,2,Awful experience,This experience is awful. I have been using this for weeks now.,False,19,Sports,Negative
REV-100027,PROD-3564,USR-55745,2022-08-16,4,Perfect design,This design is perfect. Great design for the money.,True,182,Beauty,Positive
REV-100028,PROD-2834,USR-31542,2023-04-15,4,Amazing delivery,This delivery is amazing. Could be better for the price.,True,101,Beauty,Positive
REV-100029,PROD-4049,USR-47694,2024-07-16,2,Bad performance,This performance is bad. Could be better for the price.,True,89,Sports,Negative
REV-100030,PROD-4814,USR-51030,2025-02-17,5,Outstanding quality,This quality is outstanding. Compared to similar products this stands out.,True,49,Sports,Positive
REV-100031,PROD-1724,USR-35007,2022-10-21,2,Useless performance,This performance is useless. Shipping was fast and packaging was good.,True,65,Grocery,Negative
REV-100032,PROD-2058,USR-88764,2024-08-16,4,Best product,This product is best. The product met my expectations overall.,True,84,Books,Positive
REV-100033,PROD-1869,USR-87292,2022-06-27,4,Superb purchase,This purchase is superb. Shipping was fast and packaging was good.,True,28,Electronics,Positive
REV-100034,PROD-4713,USR-37948,2022-09-19,3,Acceptable performance,This performance is acceptable. I have been using this for weeks now.,True,145,Home & Kitchen,Neutral
REV-100035,PROD-3095,USR-85497,2024-10-12,5,Love performance,This performance is love. I have been using this for weeks now.,True,135,Books,Positive
REV-100036,PROD-3511,USR-67797,2025-04-14,4,Love product,This product is love. The product met my expectations overall.,True,158,Toys,Positive
REV-100037,PROD-4380,USR-88297,2022-02-04,5,Fantastic delivery,This delivery is fantastic. The delivery met my expectations overall.,True,131,Sports,Positive
REV-100038,PROD-2558,USR-75978,2023-08-12,5,Fantastic design,This design is fantastic. Could be better for the price.,True,164,Home & Kitchen,Positive
REV-100039,PROD-2617,USR-80926,2023-10-03,5,Excellent design,This design is excellent. I have been using this for weeks now.,False,128,Books,Positive
REV-100040,PROD-4930,USR-55931,2025-02-11,5,Fantastic quality,This quality is fantastic. Could be better for the price.,False,76,Home & Kitchen,Positive
REV-100041,PROD-2652,USR-53732,2025-12-04,4,Great item,This item is great. Shipping was fast and packaging was good.,True,164,Home & Kitchen,Positive
REV-100042,PROD-4102,USR-77393,2023-10-10,5,Excellent experience,This experience is excellent. Could be better for the price.,True,193,Clothing,Positive
REV-100043,PROD-4700,USR-54090,2024-04-09,4,Amazing value,This value is amazing. The value met my expectations overall.,False,27,Toys,Positive
REV-100044,PROD-4985,USR-61789,2025-04-10,5,Wonderful delivery,This delivery is wonderful. Could be better for the price.,True,131,Home & Kitchen,Positive
REV-100045,PROD-3053,USR-79136,2024-06-12,2,Poor product,This product is poor. Could be better for the price.,True,177,Grocery,Negative
REV-100046,PROD-1569,USR-98197,2023-04-08,4,Fantastic performance,This performance is fantastic. The performance met my expectations overall.,True,32,Clothing,Positive
REV-100047,PROD-1512,USR-56118,2022-03-27,5,Superb value,This value is superb. Exactly what I was looking for.,True,119,Beauty,Positive
REV-100048,PROD-2250,USR-12569,2022-12-01,3,Acceptable design,This design is acceptable. I have been using this for weeks now.,True,108,Grocery,Neutral
REV-100049,PROD-1410,USR-28245,2022-08-18,5,Superb performance,This performance is superb. Great performance for the money.,False,183,Sports,Positive
REV-100050,PROD-2650,USR-42267,2022-03-29,5,Perfect delivery,This delivery is perfect. Could be better for the price.,True,158,Clothing,Positive
REV-100051,PROD-1286,USR-77947,2022-03-31,5,Fantastic value,This value is fantastic. Quality is fantastic as described.,False,139,Electronics,Positive
REV-100052,PROD-4427,USR-28592,2022-11-24,2,Terrible product,This product is terrible. Could be better for the price.,False,42,Electronics,Negative
REV-100053,PROD-4377,USR-30428,2025-12-23,5,Perfect experience,This experience is perfect. I would definitely recommend this to others.,True,20,Grocery,Positive
REV-100054,PROD-2154,USR-50856,2024-06-28,5,Outstanding item,This item is outstanding. I have been using this for weeks now.,True,65,Electronics,Positive
REV-100055,PROD-3889,USR-61220,2025-01-13,5,Fantastic performance,This performance is fantastic. Quality is fantastic as described.,True,69,Electronics,Positive
REV-100056,PROD-4088,USR-12480,2024-09-15,2,Useless performance,This performance is useless. Compared to similar products this stands out.,False,34,Home & Kitchen,Negative
REV-100057,PROD-1520,USR-36072,2022-12-07,5,Best value,This value is best. I have been using this for weeks now.,True,88,Electronics,Positive
REV-100058,PROD-3335,USR-49873,2025-09-26,4,Best product,This product is best. Shipping was fast and packaging was good.,False,186,Electronics,Positive
REV-100059,PROD-4662,USR-94490,2022-12-23,4,Amazing material,This material is amazing. Exactly what I was looking for.,True,0,Beauty,Positive
REV-100060,PROD-3844,USR-71454,2023-07-23,2,Useless value,This value is useless. Exactly what I was looking for.,True,118,Beauty,Negative
REV-100061,PROD-1158,USR-18002,2023-01-03,5,Love product,This product is love. The product met my expectations overall.,True,29,Books,Positive
REV-100062,PROD-2939,USR-75139,2022-07-20,2,Disappointing performance,This performance is disappointing. Compared to similar products this stands out.,False,12,Toys,Negative
REV-100063,PROD-4377,USR-66466,2024-05-31,3,Fine value,This value is fine. I would definitely recommend this to others.,False,127,Books,Neutral
REV-100064,PROD-4711,USR-67790,2025-03-16,4,Great experience,This experience is great. Compared to similar products this stands out.,True,118,Electronics,Positive
REV-100065,PROD-2158,USR-92099,2024-01-16,5,Amazing experience,This experience is amazing. Could be better for the price.,True,138,Grocery,Positive
REV-100066,PROD-3188,USR-84677,2023-09-19,5,Perfect experience,This experience is perfect. Great experience for the money.,True,165,Toys,Positive
REV-100067,PROD-3273,USR-37630,2023-07-10,2,Defective material,This material is defective. I would definitely recommend this to others.,True,128,Beauty,Negative
REV-100068,PROD-1151,USR-68541,2024-04-23,2,Useless delivery,This delivery is useless. Exactly what I was looking for.,True,60,Toys,Negative
REV-100069,PROD-3324,USR-95185,2023-02-18,3,Fair value,This value is fair. Compared to similar products this stands out.,True,65,Sports,Neutral
REV-100070,PROD-1236,USR-49920,2023-06-19,3,Alright quality,This quality is alright. Not sure I would buy this again.,False,3,Sports,Neutral
REV-100071,PROD-4926,USR-64434,2025-07-26,5,Fantastic design,This design is fantastic. Quality is fantastic as described.,False,151,Grocery,Positive
REV-100072,PROD-3344,USR-33918,2023-03-07,5,Outstanding delivery,This delivery is outstanding. Shipping was fast and packaging was good.,False,140,Beauty,Positive
REV-100073,PROD-4444,USR-35542,2024-12-21,5,Perfect value,This value is perfect. Could be better for the price.,False,30,Sports,Positive
REV-100074,PROD-1288,USR-92864,2024-03-26,4,Great product,This product is great. The product met my expectations overall.,False,104,Beauty,Positive
REV-100075,PROD-2181,USR-34464,2024-03-12,2,Poor purchase,This purchase is poor. The purchase met my expectations overall.,True,107,Toys,Negative
REV-100076,PROD-3637,USR-92021,2022-04-03,5,Love product,This product is love. Quality is love as described.,True,190,Toys,Positive
REV-100077,PROD-2833,USR-43370,2024-10-03,5,Superb item,This item is superb. The item met my expectations overall.,False,54,Grocery,Positive
REV-100078,PROD-2830,USR-95302,2024-08-31,1,Horrible product,This product is horrible. I would definitely recommend this to others.,False,44,Clothing,Negative
REV-100079,PROD-2101,USR-94797,2023-09-21,4,Wonderful value,This value is wonderful. I have been using this for weeks now.,True,90,Grocery,Positive
REV-100080,PROD-1803,USR-87237,2024-05-05,5,Love purchase,This purchase is love. Could be better for the price.,True,128,Sports,Positive
REV-100081,PROD-1634,USR-28649,2023-12-14,4,Love design,This design is love. Could be better for the price.,True,17,Clothing,Positive
REV-100082,PROD-1119,USR-66184,2025-05-08,3,Adequate delivery,This delivery is adequate. Compared to similar products this stands out.,False,49,Clothing,Neutral
REV-100083,PROD-3868,USR-96137,2023-05-24,1,Terrible design,This design is terrible. Great design for the money.,True,64,Home & Kitchen,Negative
REV-100084,PROD-1720,USR-16791,2023-10-18,4,Fantastic quality,This quality is fantastic. I have been using this for weeks now.,True,5,Beauty,Positive
REV-100085,PROD-1771,USR-45409,2025-12-01,3,Adequate purchase,This purchase is adequate. Shipping was fast and packaging was good.,True,196,Books,Neutral
REV-100086,PROD-2877,USR-25449,2023-08-04,5,Wonderful experience,This experience is wonderful. Could be better for the price.,True,5,Grocery,Positive
REV-100087,PROD-3688,USR-90764,2022-12-06,3,Reasonable value,This value is reasonable. I have been using this for weeks now.,True,108,Electronics,Neutral
REV-100088,PROD-3163,USR-27987,2022-12-16,4,Love design,This design is love. Compared to similar products this stands out.,True,1,Clothing,Positive
REV-100089,PROD-2099,USR-14045,2023-01-27,2,Horrible item,This item is horrible. Compared to similar products this stands out.,False,43,Beauty,Negative
REV-100090,PROD-3630,USR-10442,2025-08-31,1,Defective material,This material is defective. Exactly what I was looking for.,True,59,Beauty,Negative
REV-100091,PROD-4143,USR-33695,2025-06-07,5,Wonderful purchase,This purchase is wonderful. I would definitely recommend this to others.,False,41,Grocery,Positive
REV-100092,PROD-2999,USR-13392,2024-10-07,4,Fantastic item,This item is fantastic. Could be better for the price.,True,96,Grocery,Positive
REV-100093,PROD-3787,USR-52999,2024-11-11,3,Standard value,This value is standard. I have been using this for weeks now.,True,118,Beauty,Neutral
REV-100094,PROD-4299,USR-25661,2024-12-08,4,Great item,This item is great. Shipping was fast and packaging was good.,True,17,Toys,Positive
REV-100095,PROD-2319,USR-51192,2023-07-02,4,Great item,This item is great. Shipping was fast and packaging was good.,True,116,Sports,Positive
REV-100096,PROD-2164,USR-69814,2025-10-04,5,Outstanding material,This material is outstanding. Could be better for the price.,True,163,Clothing,Positive
REV-100097,PROD-2848,USR-13310,2025-06-10,5,Outstanding delivery,This delivery is outstanding. Could be better for the price.,False,120,Toys,Positive
REV-100098,PROD-1336,USR-69562,2022-03-08,4,Perfect quality,This quality is perfect. Great quality for the money.,True,68,Grocery,Positive
