campaign_id,campaign_name,channel,start_date,end_date,budget_usd,spend_usd,impressions,clicks,ctr,conversions,conversion_rate,revenue_usd,roi_pct,target_audience
CMP-3000,Winter Sale 2022,Email,2022-10-27,2022-12-26,16097.51,10656.38,41875,2944,7.03,52,1.77,4820.31,-54.77,Students
CMP-3001,Winter Promo 2022,Display Ads,2022-11-25,2023-01-10,23420.27,17737.58,207880,16190,7.79,185,1.14,34245.4,93.07,Students
CMP-3002,Premium Deal 2024,Search Ads,2024-12-19,2025-01-21,23379.18,18495.18,204143,13165,6.45,1243,9.44,75036.14,305.71,55+ Retirees
CMP-3003,Premium Offer 2022,Social Media,2022-12-27,2023-02-04,8859.28,7122.69,415304,23624,5.69,818,3.46,95694.57,1243.52,35-44 Parents
CMP-3004,Exclusive Deal 2024,Podcast,2024-10-30,2024-11-24,21619.72,13885.14,151584,10245,6.76,938,9.16,165082.36,1088.91,55+ Retirees
CMP-3005,Premium Push 2025,Direct Mail,2025-09-11,2025-11-21,4126.31,2990.14,452777,3526,0.78,384,10.89,16097.3,438.35,25-34 Professionals
CMP-3006,Exclusive Offer 2022,Video Ads,2022-01-22,2022-03-07,45691.2,37631.78,252569,17046,6.75,618,3.63,48359.84,28.51,25-34 Professionals
CMP-3007,Launch Drive 2022,Direct Mail,2022-03-03,2022-04-27,42614.51,30271.7,43918,3323,7.57,213,6.41,39380.02,30.09,Small Business
CMP-3008,Exclusive Offer 2022,Video Ads,2022-05-23,2022-06-22,1767.91,1246.61,191033,12295,6.44,987,8.03,149297.83,11876.31,Students
CMP-3009,Fall Drive 2024,Display Ads,2024-09-17,2024-09-24,6122.51,5989.78,201779,16125,7.99,2236,13.87,400891.42,6592.92,Enterprise
CMP-3010,Premium Event 2022,Influencer,2022-09-15,2022-11-23,49618.59,37710.64,407799,9505,2.33,839,8.83,48255.64,27.96,Enterprise
CMP-3011,Spring Campaign 2022,Influencer,2022-10-09,2022-11-10,16724.29,15805.64,196586,10563,5.37,205,1.94,25811.46,63.31,Enterprise
CMP-3012,Spring Sale 2023,Video Ads,2023-03-25,2023-06-10,18023.96,15162.05,195781,3004,1.53,373,12.42,10684.42,-29.53,Small Business
CMP-3013,Launch Push 2022,Search Ads,2022-06-29,2022-07-08,36767.4,31511.59,405615,14422,3.56,898,6.23,100963.87,220.4,55+ Retirees
CMP-3014,Fall Blast 2023,Influencer,2023-03-09,2023-05-29,32164.98,27699.8,49681,1503,3.03,125,8.32,14006.07,-49.44,Students
CMP-3015,Fall Event 2022,Search Ads,2022-04-25,2022-05-23,5981.31,4573.81,397681,13634,3.43,1989,14.59,332700.48,7174.03,25-34 Professionals
CMP-3016,Summer Deal 2023,Social Media,2023-06-11,2023-09-04,25541.62,19348.86,188429,13499,7.16,1760,13.04,221946.38,1047.08,Small Business
CMP-3017,Exclusive Drive 2023,Display Ads,2023-06-13,2023-08-29,35084.88,34610.94,426089,4901,1.15,584,11.92,44890.68,29.7,Enterprise
CMP-3018,Spring Drive 2024,Video Ads,2024-03-06,2024-06-02,42497.19,30693.27,314491,6212,1.98,467,7.52,33043.07,7.66,35-44 Parents
CMP-3019,Summer Promo 2024,Influencer,2024-05-31,2024-08-05,27588.89,25121.02,430864,13179,3.06,861,6.53,130642.18,420.05,Small Business
CMP-3020,Spring Push 2024,Podcast,2024-03-28,2024-06-14,32435.33,31059.97,487357,2559,0.53,376,14.69,28322.91,-8.81,Students
CMP-3021,Launch Offer 2024,Social Media,2024-05-26,2024-07-25,1859.49,1690.64,44919,1811,4.03,156,8.61,22103.7,1207.42,55+ Retirees
CMP-3022,Premium Blast 2025,Podcast,2025-07-10,2025-09-15,11762.29,9186.23,487841,22241,4.56,311,1.4,31768.82,245.83,45-54 Homeowners
CMP-3023,Flash Blast 2022,Social Media,2022-01-26,2022-02-16,41277.35,39587.85,229051,11881,5.19,1563,13.16,117007.21,195.56,Students
CMP-3024,Exclusive Offer 2023,Video Ads,2023-08-22,2023-10-15,32793.65,23799.12,310150,22735,7.33,1965,8.64,133527.21,461.06,55+ Retirees
CMP-3025,Launch Push 2023,Influencer,2023-04-09,2023-06-26,1616.27,1223.04,278946,7119,2.55,893,12.54,77954.5,6273.83,Students
CMP-3026,Premium Blast 2023,Social Media,2023-02-08,2023-04-26,43301.91,31910.46,227370,13365,5.88,1215,9.09,154562.85,384.36,Small Business
CMP-3027,Mega Drive 2024,Social Media,2024-05-19,2024-06-05,9811.38,5970.56,419049,21804,5.2,2833,12.99,456044.15,7538.21,Enterprise
CMP-3028,Exclusive Deal 2025,Direct Mail,2025-07-17,2025-10-11,14561.09,12244.0,113078,8808,7.79,1101,12.5,111366.99,809.56,Small Business
CMP-3029,Premium Push 2025,Display Ads,2025-04-09,2025-06-07,15126.77,14272.73,62340,2804,4.5,358,12.77,50608.14,254.58,55+ Retirees
CMP-3030,Flash Promo 2022,Social Media,2022-03-21,2022-06-10,21897.13,21770.21,306080,22302,7.29,2151,9.64,342006.78,1470.99,Students
CMP-3031,Summer Sale 2023,Social Media,2023-10-10,2023-12-09,47555.6,44164.9,153451,10216,6.66,185,1.81,5360.44,-87.86,Enterprise
CMP-3032,Exclusive Drive 2023,Display Ads,2023-01-09,2023-03-12,30938.64,26243.91,225039,16711,7.43,547,3.27,87309.5,232.68,35-44 Parents
CMP-3033,Holiday Drive 2022,Direct Mail,2022-12-31,2023-02-24,46160.7,45701.33,109569,1083,0.99,73,6.74,8248.22,-81.95,25-34 Professionals
CMP-3034,Flash Offer 2022,Social Media,2022-09-16,2022-09-28,2711.83,2139.88,365908,18711,5.11,600,3.21,61535.86,2775.67,55+ Retirees
CMP-3035,Holiday Push 2024,Video Ads,2024-08-17,2024-08-25,4108.76,3482.02,289703,6041,2.09,631,10.45,79294.39,2177.25,25-34 Professionals
CMP-3036,Mega Push 2024,Search Ads,2024-02-22,2024-04-04,19637.82,15611.83,61367,1923,3.13,19,0.99,2568.48,-83.55,Small Business
CMP-3037,Flash Special 2023,Search Ads,2023-02-15,2023-02-28,2062.11,1507.64,251121,14343,5.71,1165,8.12,107196.18,7010.2,35-44 Parents
CMP-3038,Launch Deal 2022,Podcast,2022-11-07,2022-11-30,43353.02,42944.0,14665,919,6.27,128,13.93,10542.49,-75.45,55+ Retirees
CMP-3039,Holiday Blast 2025,Email,2025-08-07,2025-08-28,15196.72,9941.86,34469,386,1.12,39,10.1,797.6,-91.98,Enterprise
CMP-3040,Mega Event 2025,Podcast,2025-01-30,2025-04-06,42474.91,28423.81,489653,20794,4.25,1024,4.92,154007.89,441.83,18-24 Urban
CMP-3041,Summer Blast 2025,Display Ads,2025-09-17,2025-12-04,6482.19,5157.08,208314,3254,1.56,69,2.12,6767.26,31.22,18-24 Urban
CMP-3042,Spring Promo 2023,Direct Mail,2023-06-28,2023-08-23,34975.19,28084.28,467596,16269,3.48,993,6.1,128750.27,358.44,Enterprise
CMP-3043,Fall Sale 2024,Direct Mail,2024-01-04,2024-03-20,40910.67,26211.78,122783,4499,3.66,301,6.69,14888.92,-43.2,25-34 Professionals
CMP-3044,Mega Drive 2022,Video Ads,2022-02-26,2022-03-22,5473.49,5162.12,376772,21612,5.74,290,1.34,35599.16,589.62,Students
CMP-3045,Exclusive Blast 2025,Video Ads,2025-02-01,2025-03-04,44700.87,36291.15,42654,2436,5.71,159,6.53,24851.2,-31.52,Students
CMP-3046,Holiday Promo 2023,Podcast,2023-09-11,2023-09-19,49548.69,39012.99,367013,25413,6.92,3546,13.95,269266.38,590.2,Small Business
CMP-3047,Winter Special 2024,Search Ads,2024-02-11,2024-04-12,42465.46,26996.8,319784,11154,3.49,248,2.22,12559.79,-53.48,Small Business
CMP-3048,Winter Blast 2022,Social Media,2022-01-21,2022-02-11,45890.66,44996.28,312897,12905,4.12,823,6.38,22364.46,-50.3,Enterprise
CMP-3049,Flash Promo 2023,Social Media,2023-11-27,2024-02-06,35466.84,35092.21,245931,3997,1.63,414,10.36,58854.08,67.71,45-54 Homeowners
CMP-3050,Mega Deal 2024,Search Ads,2024-12-09,2025-02-22,11091.27,9669.5,320988,2051,0.64,118,5.75,13204.82,36.56,25-34 Professionals
CMP-3051,Flash Blast 2025,Podcast,2025-05-15,2025-06-22,985.66,642.29,22356,258,1.15,22,8.53,2759.42,329.62,45-54 Homeowners
CMP-3052,Fall Campaign 2022,Social Media,2022-08-16,2022-09-02,38366.56,29749.63,211343,6621,3.13,447,6.75,83178.7,179.6,35-44 Parents
CMP-3053,Spring Promo 2024,Influencer,2024-11-11,2025-01-06,46231.27,41193.26,371724,8783,2.36,1128,12.84,85958.22,108.67,35-44 Parents
CMP-3054,Mega Offer 2022,Social Media,2022-11-23,2022-12-23,13597.23,9127.33,463969,11762,2.54,1421,12.08,95858.45,950.24,Small Business
CMP-3055,Holiday Event 2025,Direct Mail,2025-03-20,2025-06-15,9250.39,6023.7,32619,2305,7.07,181,7.85,16161.75,168.3,25-34 Professionals
CMP-3056,Holiday Drive 2025,Search Ads,2025-02-03,2025-03-06,37560.53,30962.1,187700,12251,6.53,701,5.72,88213.83,184.91,25-34 Professionals
CMP-3057,Spring Event 2022,Email,2022-08-23,2022-10-30,8937.82,6614.17,390865,3731,0.95,217,5.82,24328.8,267.83,Enterprise
CMP-3058,Exclusive Campaign 2022,Podcast,2022-08-22,2022-10-25,47017.94,28250.29,264221,19522,7.39,741,3.8,44691.81,58.2,45-54 Homeowners
CMP-3059,Winter Offer 2022,Influencer,2022-11-03,2022-12-13,8171.46,5097.37,472146,26828,5.68,1612,6.01,49411.19,869.35,Small Business
CMP-3060,Launch Blast 2025,Email,2025-04-03,2025-05-03,16138.51,9849.24,386546,7349,1.9,983,13.38,168655.97,1612.38,55+ Retirees
CMP-3061,Summer Deal 2024,Search Ads,2024-05-31,2024-08-19,47679.6,40343.15,401527,28628,7.13,3922,13.7,711481.34,1663.57,25-34 Professionals
CMP-3062,Premium Blast 2025,Podcast,2025-08-23,2025-09-28,24266.06,16317.18,231033,13699,5.93,871,6.36,31898.89,95.49,18-24 Urban
CMP-3063,Winter Sale 2022,Display Ads,2022-11-06,2022-12-01,36665.32,23161.64,416967,7264,1.74,237,3.26,5446.25,-76.49,35-44 Parents
CMP-3064,Holiday Promo 2022,Influencer,2022-02-08,2022-04-30,4789.47,4232.8,339141,4801,1.42,435,9.06,50662.09,1096.89,45-54 Homeowners
CMP-3065,Winter Special 2022,Podcast,2022-07-05,2022-07-20,35486.75,28618.48,92822,2063,2.22,159,7.71,9797.38,-65.77,35-44 Parents
CMP-3066,Spring Campaign 2025,Search Ads,2025-03-08,2025-05-23,26214.35,24289.57,282417,10952,3.88,816,7.45,47220.66,94.41,45-54 Homeowners
CMP-3067,Premium Deal 2024,Direct Mail,2024-11-05,2025-01-11,33693.72,27013.3,16796,1018,6.06,11,1.08,1687.65,-93.75,55+ Retirees
CMP-3068,Flash Drive 2022,Social Media,2022-11-19,2023-01-23,43872.88,39259.78,322886,23026,7.13,1938,8.42,167221.18,325.94,45-54 Homeowners
CMP-3069,Holiday Campaign 2024,Influencer,2024-12-08,2025-01-25,42652.55,41774.38,123376,1750,1.42,192,10.97,25512.43,-38.93,25-34 Professionals
CMP-3070,Flash Event 2025,Influencer,2025-04-07,2025-05-29,13011.12,12727.23,356848,7750,2.17,359,4.63,9858.44,-22.54,Small Business
CMP-3071,Exclusive Deal 2022,Video Ads,2022-05-11,2022-05-19,26512.97,22337.91,337086,22306,6.62,1608,7.21,320625.3,1335.34,Small Business
CMP-3072,Mega Sale 2023,Podcast,2023-05-14,2023-05-31,17307.7,16166.19,417095,26677,6.4,3063,11.48,300185.6,1756.87,35-44 Parents
CMP-3073,Exclusive Promo 2023,Podcast,2023-11-25,2024-01-03,25221.21,20135.64,266318,7934,2.98,1130,14.24,176890.58,778.49,Enterprise
CMP-3074,Spring Promo 2025,Direct Mail,2025-01-04,2025-02-08,18744.5,12216.76,252240,11175,4.43,1375,12.3,204817.4,1576.53,35-44 Parents
CMP-3075,Winter Promo 2022,Direct Mail,2022-08-22,2022-11-14,26250.52,24888.77,256835,6204,2.42,929,14.97,89047.54,257.78,25-34 Professionals
CMP-3076,Holiday Push 2023,Social Media,2023-12-08,2023-12-24,19722.23,16691.96,378973,19362,5.11,1531,7.91,204874.41,1127.38,Enterprise
CMP-3077,Launch Sale 2023,Social Media,2023-08-15,2023-11-03,43682.49,30381.1,18095,606,3.35,87,14.36,2761.05,-90.91,Students
CMP-3078,Holiday Offer 2025,Podcast,2025-08-30,2025-10-10,39197.54,38541.18,459518,36728,7.99,1210,3.29,93917.51,143.68,25-34 Professionals
CMP-3079,Winter Special 2025,Email,2025-05-12,2025-06-15,3584.42,3175.5,346156,22530,6.51,2827,12.55,304665.01,9494.24,Students
